_id,arrivalTime, timeBetweenArrivals, startingService, serviceTime , finishingTime
8720,2153.479, 0.604, 2154.125, 0.317, 2154.442
8721,2153.73, 0.251, 2154.442, 0.231, 2154.673
8722,2153.873, 0.143, 2154.673, 0.149, 2154.822
8723,2153.954, 0.081, 2154.822, 0.195, 2155.017
8724,2154.282, 0.329, 2155.017, 0.266, 2155.283
8725,2154.483, 0.2, 2155.283, 0.115, 2155.398
8726,2154.493, 0.011, 2155.398, 0.009, 2155.407
8727,2154.864, 0.371, 2155.407, 0.02, 2155.426
8728,2154.907, 0.043, 2155.426, 0.333, 2155.759
8729,2155.533, 0.625, 2155.759, 0.008, 2155.767
8730,2155.716, 0.183, 2155.767, 0.095, 2155.862
8731,2155.92, 0.204, 2155.92, 0.389, 2156.309
8732,2155.972, 0.052, 2156.309, 0.544, 2156.853
8733,2156.037, 0.065, 2156.853, 0.334, 2157.187
8734,2156.054, 0.017, 2157.187, 0.183, 2157.37
8735,2156.585, 0.531, 2157.37, 0.217, 2157.587
8736,2157.779, 1.193, 2157.779, 0.716, 2158.494
8737,2158.3, 0.522, 2158.494, 0.023, 2158.517
8738,2158.904, 0.604, 2158.904, 0.302, 2159.206
8739,2159.118, 0.214, 2159.206, 0.026, 2159.233
8740,2159.187, 0.069, 2159.233, 0.011, 2159.244
8741,2159.94, 0.753, 2159.94, 0.105, 2160.045
8742,2160.184, 0.244, 2160.184, 0.213, 2160.397
8743,2160.603, 0.42, 2160.603, 0.053, 2160.656
8744,2160.921, 0.317, 2160.921, 0.361, 2161.281
8745,2160.966, 0.046, 2161.281, 0.675, 2161.956
8746,2161.094, 0.127, 2161.956, 0.0, 2161.956
8747,2161.848, 0.754, 2161.956, 0.207, 2162.163
8748,2162.115, 0.267, 2162.163, 0.292, 2162.454
8749,2162.687, 0.571, 2162.687, 0.014, 2162.7
8750,2163.166, 0.48, 2163.166, 0.442, 2163.608
8751,2163.368, 0.202, 2163.608, 0.002, 2163.61
8752,2163.511, 0.143, 2163.61, 0.25, 2163.859
8753,2163.702, 0.19, 2163.859, 0.075, 2163.935
8754,2163.732, 0.03, 2163.935, 0.068, 2164.003
8755,2164.53, 0.799, 2164.53, 0.39, 2164.92
8756,2164.745, 0.215, 2164.92, 0.12, 2165.04
8757,2165.001, 0.256, 2165.04, 0.155, 2165.195
8758,2165.07, 0.069, 2165.195, 0.233, 2165.427
8759,2165.915, 0.844, 2165.915, 0.304, 2166.219
8760,2165.961, 0.047, 2166.219, 0.454, 2166.673
8761,2166.225, 0.264, 2166.673, 0.059, 2166.732
8762,2166.307, 0.082, 2166.732, 0.226, 2166.958
8763,2166.482, 0.175, 2166.958, 0.49, 2167.448
8764,2166.527, 0.045, 2167.448, 0.024, 2167.472
8765,2166.536, 0.009, 2167.472, 0.266, 2167.739
8766,2166.68, 0.144, 2167.739, 0.249, 2167.988
8767,2166.797, 0.117, 2167.988, 0.751, 2168.739
8768,2166.842, 0.045, 2168.739, 0.106, 2168.845
8769,2166.895, 0.053, 2168.845, 0.032, 2168.877
8770,2166.962, 0.066, 2168.877, 0.119, 2168.997
8771,2167.098, 0.137, 2168.997, 0.097, 2169.093
8772,2167.361, 0.263, 2169.093, 0.025, 2169.118
8773,2167.558, 0.197, 2169.118, 0.078, 2169.196
8774,2167.781, 0.222, 2169.196, 0.101, 2169.296
8775,2168.092, 0.311, 2169.296, 0.035, 2169.331
8776,2168.478, 0.386, 2169.331, 0.335, 2169.666
8777,2168.673, 0.196, 2169.666, 0.014, 2169.68
8778,2168.728, 0.055, 2169.68, 0.298, 2169.978
8779,2168.955, 0.227, 2169.978, 0.235, 2170.214
8780,2169.018, 0.063, 2170.214, 0.033, 2170.247
8781,2169.208, 0.19, 2170.247, 0.035, 2170.281
8782,2169.486, 0.278, 2170.281, 0.357, 2170.639
8783,2169.813, 0.327, 2170.639, 0.149, 2170.788
8784,2170.015, 0.202, 2170.788, 0.14, 2170.928
8785,2170.375, 0.36, 2170.928, 0.088, 2171.016
8786,2170.46, 0.085, 2171.016, 1.024, 2172.039
8787,2170.587, 0.127, 2172.039, 0.299, 2172.338
8788,2170.688, 0.101, 2172.338, 0.01, 2172.348
8789,2171.478, 0.79, 2172.348, 0.021, 2172.369
8790,2171.575, 0.097, 2172.369, 0.178, 2172.547
8791,2171.95, 0.375, 2172.547, 0.367, 2172.914
8792,2172.373, 0.424, 2172.914, 0.024, 2172.937
8793,2172.426, 0.053, 2172.937, 0.295, 2173.232
8794,2172.518, 0.091, 2173.232, 0.014, 2173.246
8795,2173.158, 0.64, 2173.246, 0.125, 2173.371
8796,2173.633, 0.476, 2173.633, 0.34, 2173.974
8797,2173.644, 0.011, 2173.974, 0.193, 2174.167
8798,2173.939, 0.295, 2174.167, 0.498, 2174.664
8799,2174.198, 0.259, 2174.664, 0.097, 2174.761
8800,2174.391, 0.194, 2174.761, 0.092, 2174.854
8801,2174.466, 0.075, 2174.854, 0.276, 2175.129
8802,2174.825, 0.359, 2175.129, 0.235, 2175.364
8803,2175.033, 0.207, 2175.364, 0.016, 2175.38
8804,2175.277, 0.244, 2175.38, 0.147, 2175.527
8805,2175.392, 0.115, 2175.527, 0.329, 2175.856
8806,2175.765, 0.373, 2175.856, 0.429, 2176.286
8807,2176.742, 0.977, 2176.742, 0.084, 2176.826
8808,2177.07, 0.328, 2177.07, 0.013, 2177.083
8809,2177.072, 0.002, 2177.083, 0.053, 2177.136
8810,2177.34, 0.268, 2177.34, 0.161, 2177.501
8811,2177.465, 0.125, 2177.501, 0.281, 2177.782
8812,2178.017, 0.553, 2178.017, 0.102, 2178.119
8813,2178.626, 0.609, 2178.626, 0.044, 2178.671
8814,2178.991, 0.365, 2178.991, 0.471, 2179.462
8815,2179.349, 0.357, 2179.462, 0.042, 2179.505
8816,2180.632, 1.283, 2180.632, 0.136, 2180.768
8817,2181.013, 0.381, 2181.013, 0.201, 2181.215
8818,2181.198, 0.185, 2181.215, 0.065, 2181.279
8819,2181.691, 0.493, 2181.691, 0.0, 2181.691
8820,2181.715, 0.025, 2181.715, 0.324, 2182.04
8821,2181.905, 0.19, 2182.04, 0.622, 2182.662
8822,2182.526, 0.621, 2182.662, 0.044, 2182.706
8823,2182.63, 0.104, 2182.706, 0.148, 2182.854
8824,2182.94, 0.31, 2182.94, 0.722, 2183.662
8825,2183.176, 0.236, 2183.662, 0.092, 2183.754
8826,2183.237, 0.061, 2183.754, 0.14, 2183.894
8827,2183.329, 0.092, 2183.894, 0.644, 2184.538
8828,2183.534, 0.205, 2184.538, 0.098, 2184.636
8829,2183.655, 0.121, 2184.636, 0.45, 2185.086
8830,2183.773, 0.118, 2185.086, 0.202, 2185.288
8831,2183.979, 0.206, 2185.288, 0.441, 2185.728
8832,2184.085, 0.106, 2185.728, 0.413, 2186.141
8833,2184.485, 0.4, 2186.141, 0.134, 2186.275
8834,2185.264, 0.779, 2186.275, 0.206, 2186.481
8835,2185.667, 0.403, 2186.481, 0.452, 2186.934
8836,2185.872, 0.205, 2186.934, 0.027, 2186.96
8837,2186.263, 0.392, 2186.96, 0.401, 2187.362
8838,2186.472, 0.209, 2187.362, 0.143, 2187.505
8839,2186.611, 0.14, 2187.505, 0.015, 2187.52
8840,2186.737, 0.126, 2187.52, 0.236, 2187.757
8841,2186.79, 0.052, 2187.757, 0.555, 2188.311
8842,2186.826, 0.036, 2188.311, 0.313, 2188.624
8843,2187.197, 0.371, 2188.624, 0.109, 2188.733
8844,2187.271, 0.074, 2188.733, 0.166, 2188.899
8845,2187.282, 0.011, 2188.899, 0.732, 2189.631
8846,2187.477, 0.195, 2189.631, 0.257, 2189.888
8847,2187.955, 0.478, 2189.888, 0.091, 2189.979
8848,2188.102, 0.147, 2189.979, 0.222, 2190.202
8849,2188.355, 0.253, 2190.202, 0.41, 2190.612
8850,2188.47, 0.115, 2190.612, 0.067, 2190.679
8851,2189.951, 1.481, 2190.679, 0.534, 2191.213
8852,2189.954, 0.004, 2191.213, 0.471, 2191.684
8853,2190.213, 0.259, 2191.684, 0.034, 2191.718
8854,2190.695, 0.481, 2191.718, 0.387, 2192.105
8855,2191.528, 0.833, 2192.105, 0.07, 2192.175
8856,2192.046, 0.518, 2192.175, 0.11, 2192.286
8857,2192.087, 0.041, 2192.286, 0.182, 2192.468
8858,2192.173, 0.087, 2192.468, 0.119, 2192.587
8859,2192.285, 0.111, 2192.587, 0.284, 2192.871
8860,2192.522, 0.238, 2192.871, 0.085, 2192.956
8861,2192.7, 0.177, 2192.956, 0.178, 2193.134
8862,2192.84, 0.14, 2193.134, 0.23, 2193.364
8863,2193.006, 0.167, 2193.364, 0.084, 2193.448
8864,2193.29, 0.283, 2193.448, 0.028, 2193.476
8865,2193.363, 0.073, 2193.476, 0.187, 2193.663
8866,2193.619, 0.256, 2193.663, 0.728, 2194.39
8867,2194.42, 0.801, 2194.42, 0.167, 2194.588
8868,2194.837, 0.417, 2194.837, 0.048, 2194.886
8869,2195.05, 0.213, 2195.05, 0.128, 2195.178
8870,2195.738, 0.688, 2195.738, 0.171, 2195.909
8871,2196.022, 0.284, 2196.022, 0.025, 2196.047
8872,2196.671, 0.649, 2196.671, 0.267, 2196.938
8873,2196.672, 0.001, 2196.938, 0.044, 2196.982
8874,2196.685, 0.012, 2196.982, 0.13, 2197.112
8875,2196.691, 0.006, 2197.112, 0.118, 2197.231
8876,2197.106, 0.416, 2197.231, 0.098, 2197.329
8877,2197.228, 0.122, 2197.329, 0.199, 2197.528
8878,2197.276, 0.048, 2197.528, 0.075, 2197.603
8879,2197.382, 0.105, 2197.603, 0.147, 2197.749
8880,2197.486, 0.104, 2197.749, 0.255, 2198.004
8881,2197.555, 0.069, 2198.004, 0.046, 2198.05
8882,2197.589, 0.034, 2198.05, 0.247, 2198.297
8883,2197.624, 0.035, 2198.297, 0.058, 2198.356
8884,2197.647, 0.024, 2198.356, 0.137, 2198.493
8885,2197.675, 0.028, 2198.493, 0.132, 2198.624
8886,2198.431, 0.756, 2198.624, 0.343, 2198.968
8887,2198.562, 0.131, 2198.968, 0.089, 2199.057
8888,2198.744, 0.182, 2199.057, 0.391, 2199.448
8889,2198.912, 0.168, 2199.448, 0.078, 2199.527
8890,2198.995, 0.083, 2199.527, 0.509, 2200.035
8891,2199.071, 0.077, 2200.035, 0.208, 2200.244
8892,2199.104, 0.032, 2200.244, 0.108, 2200.351
8893,2199.259, 0.155, 2200.351, 0.375, 2200.726
8894,2200.168, 0.91, 2200.726, 0.073, 2200.8
8895,2200.372, 0.204, 2200.8, 0.679, 2201.479
8896,2200.446, 0.074, 2201.479, 0.163, 2201.642
8897,2200.467, 0.021, 2201.642, 0.151, 2201.793
8898,2200.867, 0.4, 2201.793, 0.465, 2202.258
8899,2200.915, 0.048, 2202.258, 0.096, 2202.353
8900,2201.07, 0.155, 2202.353, 0.155, 2202.509
8901,2201.109, 0.039, 2202.509, 0.022, 2202.531
8902,2201.176, 0.068, 2202.531, 0.073, 2202.603
8903,2201.326, 0.149, 2202.603, 0.058, 2202.661
8904,2201.521, 0.195, 2202.661, 0.045, 2202.707
8905,2202.322, 0.801, 2202.707, 0.021, 2202.728
8906,2202.592, 0.27, 2202.728, 0.037, 2202.765
8907,2202.793, 0.201, 2202.793, 0.067, 2202.86
8908,2203.116, 0.323, 2203.116, 0.082, 2203.198
8909,2203.156, 0.04, 2203.198, 0.044, 2203.243
8910,2203.292, 0.136, 2203.292, 0.031, 2203.323
8911,2204.434, 1.142, 2204.434, 0.287, 2204.721
8912,2204.688, 0.254, 2204.721, 0.011, 2204.731
8913,2204.959, 0.272, 2204.959, 0.261, 2205.22
8914,2205.22, 0.261, 2205.22, 0.334, 2205.555
8915,2205.408, 0.188, 2205.555, 0.135, 2205.69
8916,2206.1, 0.692, 2206.1, 0.239, 2206.338
8917,2206.291, 0.191, 2206.338, 0.979, 2207.317
8918,2206.679, 0.388, 2207.317, 0.072, 2207.389
8919,2206.724, 0.045, 2207.389, 0.043, 2207.432
8920,2207.149, 0.425, 2207.432, 0.033, 2207.466
8921,2207.154, 0.005, 2207.466, 0.055, 2207.521
8922,2207.199, 0.045, 2207.521, 0.147, 2207.668
8923,2208.197, 0.997, 2208.197, 0.094, 2208.291
8924,2208.554, 0.357, 2208.554, 0.166, 2208.72
8925,2208.602, 0.048, 2208.72, 0.127, 2208.847
8926,2208.626, 0.024, 2208.847, 0.046, 2208.893
8927,2209.453, 0.827, 2209.453, 0.437, 2209.89
8928,2209.514, 0.061, 2209.89, 0.34, 2210.229
8929,2209.521, 0.007, 2210.229, 0.103, 2210.332
8930,2209.624, 0.103, 2210.332, 0.054, 2210.386
8931,2209.672, 0.048, 2210.386, 0.257, 2210.644
8932,2209.7, 0.028, 2210.644, 0.086, 2210.73
8933,2210.243, 0.542, 2210.73, 0.065, 2210.795
8934,2211.148, 0.906, 2211.148, 0.458, 2211.606
8935,2211.597, 0.448, 2211.606, 0.307, 2211.913
8936,2211.695, 0.098, 2211.913, 0.021, 2211.933
8937,2211.829, 0.134, 2211.933, 0.082, 2212.015
8938,2212.327, 0.498, 2212.327, 0.002, 2212.328
8939,2212.379, 0.052, 2212.379, 0.19, 2212.569
8940,2212.626, 0.247, 2212.626, 0.2, 2212.826
8941,2212.825, 0.199, 2212.826, 0.027, 2212.853
8942,2212.946, 0.121, 2212.946, 0.034, 2212.98
8943,2213.014, 0.068, 2213.014, 0.092, 2213.106
8944,2213.243, 0.229, 2213.243, 0.357, 2213.599
8945,2213.369, 0.127, 2213.599, 0.005, 2213.604
8946,2213.396, 0.027, 2213.604, 0.122, 2213.726
8947,2213.691, 0.295, 2213.726, 0.15, 2213.876
8948,2213.906, 0.215, 2213.906, 0.203, 2214.109
8949,2214.163, 0.257, 2214.163, 0.156, 2214.32
8950,2214.332, 0.169, 2214.332, 0.136, 2214.468
8951,2214.678, 0.345, 2214.678, 0.016, 2214.694
8952,2214.984, 0.306, 2214.984, 0.243, 2215.227
8953,2215.023, 0.039, 2215.227, 0.106, 2215.333
8954,2215.724, 0.701, 2215.724, 0.12, 2215.844
8955,2215.907, 0.182, 2215.907, 0.042, 2215.949
8956,2216.108, 0.202, 2216.108, 0.005, 2216.113
8957,2216.442, 0.334, 2216.442, 0.115, 2216.557
8958,2216.673, 0.231, 2216.673, 0.17, 2216.843
8959,2216.739, 0.066, 2216.843, 0.221, 2217.065
8960,2217.303, 0.564, 2217.303, 0.369, 2217.672
8961,2217.437, 0.133, 2217.672, 0.192, 2217.864
8962,2217.987, 0.55, 2217.987, 0.105, 2218.092
8963,2218.187, 0.2, 2218.187, 0.189, 2218.376
8964,2218.441, 0.254, 2218.441, 0.108, 2218.549
8965,2218.572, 0.132, 2218.572, 0.015, 2218.587
8966,2218.794, 0.222, 2218.794, 0.16, 2218.954
8967,2219.01, 0.216, 2219.01, 0.021, 2219.031
8968,2219.01, 0.0, 2219.031, 0.123, 2219.153
8969,2219.531, 0.52, 2219.531, 0.257, 2219.788
8970,2220.336, 0.805, 2220.336, 0.297, 2220.633
